TradeKey,Date,CurrencyKey,TraderKey,Trade_Amount,Exchange_Rate,Total_Value_USD,Transaction_Fee
1,2020-01-01,1,1,807101,1.122082591,905633.98,80.71
2,2020-01-02,1,3,330393,1.122082591,370728.23,33.04
3,2020-01-02,1,1,185315,1.122082591,207938.74,18.53
4,2020-01-03,1,3,628843,1.11714375,702508.03,62.88
5,2020-01-06,1,3,54131,1.116196036,60420.81,5.41
6,2020-01-06,1,4,593602,1.116196036,662576.2,59.36
7,2020-01-07,1,4,84727,1.119799495,94877.25,8.47
8,2020-01-07,1,3,196706,1.119799495,220271.28,19.67
9,2020-01-08,1,2,814690,1.115473866,908765.4,81.47
10,2020-01-09,1,4,167928,1.111321092,186621.93,16.79
11,2020-01-10,1,1,191644,1.111111164,212937.79,19.16
12,2020-01-13,1,2,910661,1.111666918,1012351.71,91.07
13,2020-01-14,1,4,47725,1.113573313,53145.29,4.77
14,2020-01-15,1,2,936111,1.113089919,1041975.72,93.61
15,2020-01-15,1,4,709239,1.113089919,789446.78,70.92
16,2020-01-16,1,2,128271,1.115400434,143073.53,12.83
17,2020-01-17,1,2,98004,1.113957882,109172.33,9.8
18,2020-01-20,1,4,335446,1.109459281,372163.68,33.54
19,2020-01-21,1,3,995556,1.10969317,1104761.69,99.56
20,2020-01-21,1,4,154513,1.10969317,171462.02,15.45
21,2020-01-21,1,3,809695,1.10969317,898513.01,80.97
22,2020-01-22,1,4,807839,1.108561397,895539.13,80.78
23,2020-01-22,1,1,829661,1.108561397,919730.16,82.97
24,2020-01-22,1,1,118988,1.108561397,131905.5,11.9
25,2020-01-23,1,1,751066,1.109643936,833415.83,75.11
26,2020-01-23,1,1,126432,1.109643936,140294.5,12.64
27,2020-01-24,1,4,120478,1.105522037,133191.08,12.05
28,2020-01-27,1,2,15511,1.102535844,17101.43,1.55
29,2020-01-27,1,1,451331,1.102535844,497608.61,45.13
30,2020-01-27,1,1,744134,1.102535844,820434.41,74.41
31,2020-01-28,1,4,759207,1.101976991,836628.65,75.92
32,2020-01-29,1,3,465646,1.102256298,513261.24,46.56
33,2020-01-29,1,2,122183,1.102256298,134676.98,12.22
34,2020-01-30,1,3,183887,1.101685524,202585.65,18.39
35,2020-01-30,1,4,22125,1.101685524,24374.79,2.21
36,2020-01-30,1,1,407574,1.101685524,449018.38,40.76
37,2020-01-31,1,2,816641,1.102912784,900683.8,81.66
38,2020-02-03,1,2,666764,1.108979464,739427.58,66.68
39,2020-02-03,1,2,931650,1.108979464,1033180.72,93.17
40,2020-02-04,1,3,273396,1.106292605,302455.97,27.34
41,2020-02-04,1,3,25455,1.106292605,28160.68,2.55
42,2020-02-04,1,4,15764,1.106292605,17439.6,1.58
43,2020-02-05,1,1,167274,1.104728222,184792.31,16.73
44,2020-02-05,1,4,94203,1.104728222,104068.71,9.42
45,2020-02-06,1,2,94348,1.100231051,103804.6,9.43
46,2020-02-06,1,4,136937,1.100231051,150662.34,13.69
47,2020-02-07,1,2,446413,1.098297596,490294.32,44.64
48,2020-02-10,1,2,23699,1.09493053,25948.76,2.37
49,2020-02-10,1,4,708703,1.09493053,775980.55,70.87
50,2020-02-10,1,3,227901,1.09493053,249535.76,22.79
51,2020-02-11,1,4,509340,1.091345668,555866.0,50.93
52,2020-02-12,1,4,209882,1.091941476,229178.86,20.99
53,2020-02-13,1,4,295144,1.087594867,320997.1,29.51
54,2020-02-13,1,4,963025,1.087594867,1047381.05,96.3
55,2020-02-14,1,2,198822,1.08459866,215642.07,19.88
56,2020-02-14,1,4,151287,1.08459866,164085.68,15.13
57,2020-02-14,1,4,881979,1.08459866,956593.24,88.2
58,2020-02-17,1,3,575016,1.084175348,623418.17,57.5
59,2020-02-17,1,4,582727,1.084175348,631778.25,58.27
60,2020-02-17,1,1,587262,1.084175348,636694.98,58.73
61,2020-02-18,1,1,59216,1.084010839,64190.79,5.92
62,2020-02-19,1,2,891300,1.079540491,962194.44,89.13
63,2020-02-20,1,1,939597,1.081009865,1015713.63,93.96
64,2020-02-20,1,4,642498,1.081009865,694546.68,64.25
65,2020-02-20,1,3,275713,1.081009865,298048.47,27.57
66,2020-02-21,1,3,887462,1.078799844,957393.87,88.75
67,2020-02-21,1,2,207252,1.078799844,223583.43,20.73
68,2020-02-24,1,1,379343,1.083905101,411171.81,37.93
69,2020-02-25,1,4,958119,1.08491993,1039482.4,95.81
70,2020-02-26,1,4,798962,1.088199615,869430.14,79.9
71,2020-02-27,1,4,182408,1.08858943,198567.42,18.24
72,2020-02-27,1,4,796998,1.08858943,867603.6,79.7
73,2020-02-28,1,1,270141,1.099722862,297080.23,27.01
74,2020-02-28,1,4,926008,1.099722862,1018352.17,92.6
75,2020-03-02,1,4,555098,1.105131149,613456.09,55.51
76,2020-03-03,1,2,527450,1.114404798,587792.81,52.75
77,2020-03-03,1,2,166444,1.114404798,185485.99,16.64
78,2020-03-03,1,2,859917,1.114404798,958295.63,85.99
79,2020-03-04,1,2,800061,1.11806798,894522.59,80.01
80,2020-03-04,1,3,530659,1.11806798,593312.84,53.07
81,2020-03-05,1,3,748025,1.113908291,833231.25,74.8
82,2020-03-05,1,1,413770,1.113908291,460901.83,41.38
83,2020-03-05,1,4,608232,1.113908291,677514.67,60.82
84,2020-03-06,1,1,228180,1.122384906,256105.79,22.82
85,2020-03-06,1,1,582600,1.122384906,653901.45,58.26
86,2020-03-06,1,2,353534,1.122384906,396801.23,35.35
87,2020-03-09,1,1,709590,1.138602018,807940.61,70.96
88,2020-03-09,1,3,680687,1.138602018,775031.59,68.07
89,2020-03-09,1,1,28705,1.138602018,32683.57,2.87
90,2020-03-10,1,2,720262,1.139796019,820951.76,72.03
91,2020-03-10,1,4,361726,1.139796019,412293.85,36.17
92,2020-03-10,1,2,949818,1.139796019,1082598.78,94.98
93,2020-03-11,1,1,926470,1.131650567,1048440.3,92.65
94,2020-03-11,1,1,275485,1.131650567,311752.76,27.55
95,2020-03-12,1,1,57526,1.126151562,64782.99,5.75
96,2020-03-13,1,4,348895,1.118493199,390236.68,34.89
97,2020-03-13,1,4,931999,1.118493199,1042434.54,93.2
98,2020-03-13,1,1,470488,1.118493199,526237.63,47.05
99,2020-03-16,1,2,670104,1.115536094,747525.2,67.01
100,2020-03-16,1,2,452324,1.115536094,504583.75,45.23
101,2020-03-17,1,3,473453,1.11632061,528525.34,47.35
102,2020-03-17,1,2,422459,1.11632061,471599.69,42.25
103,2020-03-18,1,1,956520,1.101552129,1053656.64,95.65
104,2020-03-19,1,3,610293,1.09615469,668975.53,61.03
105,2020-03-19,1,2,998293,1.09615469,1094283.55,99.83
106,2020-03-19,1,2,787089,1.09615469,862771.3,78.71
107,2020-03-20,1,3,58859,1.065734506,62728.07,5.89
108,2020-03-23,1,3,157627,1.069438696,168572.41,15.76
109,2020-03-23,1,2,220295,1.069438696,235592.0,22.03
110,2020-03-24,1,4,566450,1.076461077,609761.38,56.65
111,2020-03-24,1,2,997654,1.076461077,1073935.7,99.77
112,2020-03-25,1,3,544053,1.080263615,587720.66,54.41
113,2020-03-25,1,4,79958,1.080263615,86375.72,8.0
114,2020-03-26,1,1,625360,1.088956952,680990.12,62.54
115,2020-03-26,1,1,727338,1.088956952,792039.77,72.73
116,2020-03-27,1,2,342180,1.104825854,378049.31,34.22
117,2020-03-30,1,4,799744,1.113908291,890841.47,79.97
118,2020-03-30,1,1,905560,1.113908291,1008710.79,90.56
119,2020-03-30,1,2,995971,1.113908291,1109420.35,99.6
120,2020-03-31,1,1,547150,1.103046656,603531.98,54.72
121,2020-03-31,1,2,496157,1.103046656,547284.32,49.62
122,2020-03-31,1,1,757742,1.103046656,835824.78,75.77
123,2020-04-01,1,1,620802,1.102657437,684531.94,62.08
124,2020-04-01,1,3,198866,1.102657437,219281.07,19.89
125,2020-04-02,1,1,136672,1.095362186,149705.34,13.67
126,2020-04-03,1,2,746096,1.084739923,809320.12,74.61
127,2020-04-03,1,2,497744,1.084739923,539922.79,49.77
128,2020-04-06,1,2,859149,1.08069551,928478.47,85.91
129,2020-04-06,1,4,472358,1.08069551,510475.17,47.24
130,2020-04-07,1,3,410969,1.080380321,444002.82,41.1
131,2020-04-07,1,3,734123,1.080380321,793132.04,73.41
132,2020-04-07,1,3,157111,1.080380321,169739.63,15.71
133,2020-04-08,1,2,546299,1.089514494,595200.68,54.63
134,2020-04-09,1,3,13008,1.086366177,14131.45,1.3
135,2020-04-10,1,4,957546,1.092740893,1046349.67,95.75
136,2020-04-10,1,1,135661,1.092740893,148242.32,13.57
137,2020-04-10,1,4,314887,1.092740893,344089.9,31.49
138,2020-04-13,1,4,799295,1.093266606,873842.53,79.93
139,2020-04-13,1,3,387946,1.093266606,424128.41,38.79
140,2020-04-13,1,4,270151,1.093266606,295347.07,27.02
141,2020-04-14,1,4,781559,1.092299342,853696.38,78.16
142,2020-04-14,1,3,148051,1.092299342,161716.01,14.81
143,2020-04-15,1,3,583775,1.098538876,641299.53,58.38
144,2020-04-15,1,1,54867,1.098538876,60273.53,5.49
145,2020-04-15,1,2,726838,1.098538876,798459.8,72.68
146,2020-04-16,1,4,209591,1.09051013,228561.11,20.96
147,2020-04-17,1,4,765524,1.085847139,831242.05,76.55
148,2020-04-17,1,3,802430,1.085847139,871316.32,80.24
149,2020-04-20,1,1,837017,1.086696625,909583.55,83.7
150,2020-04-21,1,4,760457,1.086484075,826224.42,76.05
151,2020-04-21,1,3,657739,1.086484075,714622.95,65.77
152,2020-04-21,1,2,560027,1.086484075,608460.42,56.0
153,2020-04-22,1,1,394960,1.085646749,428787.04,39.5
154,2020-04-23,1,3,789530,1.080964208,853453.67,78.95
155,2020-04-24,1,2,570519,1.077702284,614849.63,57.05
156,2020-04-27,1,1,659429,1.082368255,713745.02,65.94
157,2020-04-27,1,3,526483,1.082368255,569848.49,52.65
158,2020-04-27,1,1,15475,1.082368255,16749.65,1.55
159,2020-04-28,1,2,278525,1.082485437,301499.26,27.85
160,2020-04-29,1,2,435866,1.083658457,472329.88,43.59
161,2020-04-30,1,4,143132,1.087725043,155688.26,14.31
162,2020-04-30,1,1,792264,1.087725043,861765.39,79.23
163,2020-05-01,1,2,867979,1.094546914,950043.74,86.8
164,2020-05-01,1,3,412582,1.094546914,451590.35,41.26
165,2020-05-01,1,2,324877,1.094546914,355593.12,32.49
166,2020-05-04,1,2,697011,1.095962524,763897.93,69.7
167,2020-05-05,1,3,104235,1.090429306,113660.9,10.42
168,2020-05-05,1,3,834066,1.090429306,909490.01,83.41
169,2020-05-05,1,3,30388,1.090429306,33135.97,3.04
170,2020-05-06,1,1,586822,1.083858132,636031.8,58.68
171,2020-05-06,1,1,172441,1.083858132,186901.58,17.24
172,2020-05-06,1,2,731012,1.083858132,792313.3,73.1
173,2020-05-07,1,4,987606,1.079855323,1066471.6,98.76
174,2020-05-08,1,4,170851,1.083717108,185154.15,17.09
175,2020-05-08,1,3,579136,1.083717108,627619.59,57.91
176,2020-05-11,1,3,229179,1.083952069,248419.05,22.92
177,2020-05-12,1,4,114766,1.080940843,124055.26,11.48
