transaction_id,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id
TXN2824,28,Low,AES,0,Slice_C
TXN1520,11,Low,RSA,0,Slice_A
TXN5557,29,Medium,AES,1,Slice_A
TXN2584,13,High,TDKE,1,Slice_C
TXN9785,16,Low,AES,0,Slice_C
TXN1750,17,Medium,RSA,1,Slice_C
TXN3664,7,Low,AES,0,Slice_C
TXN5010,22,High,TDKE,1,Slice_C
TXN1916,23,Low,RSA,0,Slice_A
TXN9179,22,Medium,RSA,1,Slice_C
TXN6930,20,High,TDKE,1,Slice_A
TXN3504,18,Low,AES,0,Slice_B
TXN8668,5,Low,AES,0,Slice_C
TXN5371,28,Low,RSA,0,Slice_C
TXN9317,21,Low,AES,0,Slice_A
TXN3646,16,Medium,AES,1,Slice_A
TXN2290,22,High,TDKE,1,Slice_B
TXN7932,27,High,TDKE,1,Slice_C
TXN7537,15,High,TDKE,1,Slice_C
TXN4770,7,High,TDKE,1,Slice_B
TXN9423,20,High,TDKE,1,Slice_C
TXN8744,16,Medium,RSA,1,Slice_B
TXN1887,8,High,TDKE,1,Slice_A
TXN9786,7,Medium,AES,1,Slice_A
TXN9856,11,Medium,AES,1,Slice_A
TXN1035,30,Low,RSA,0,Slice_A
TXN5861,28,Low,AES,0,Slice_C
TXN1936,21,High,TDKE,1,Slice_A
TXN2312,8,Low,AES,0,Slice_C
TXN1651,27,Medium,AES,1,Slice_B
TXN3144,5,Medium,AES,1,Slice_A
TXN4492,16,Medium,AES,1,Slice_B
TXN5956,9,Medium,AES,1,Slice_A
TXN3546,11,Low,RSA,0,Slice_A
TXN5325,13,High,TDKE,1,Slice_A
TXN3143,5,High,TDKE,1,Slice_A
TXN3442,16,High,TDKE,1,Slice_B
TXN5088,12,High,TDKE,1,Slice_A
TXN1406,8,Medium,AES,1,Slice_B
TXN4269,12,High,TDKE,1,Slice_C
TXN7528,26,Low,RSA,0,Slice_A
TXN5279,30,Medium,RSA,1,Slice_C
TXN2894,30,Low,AES,0,Slice_B
TXN2146,15,Low,AES,0,Slice_C
TXN9308,11,Medium,RSA,1,Slice_C
TXN3851,30,Low,RSA,0,Slice_B
TXN8244,20,Low,AES,0,Slice_C
TXN5649,11,High,TDKE,1,Slice_A
TXN5011,27,Low,RSA,0,Slice_B
TXN4997,27,Low,RSA,0,Slice_A
TXN5082,22,Low,RSA,0,Slice_B
TXN9270,13,High,TDKE,1,Slice_C
TXN9540,13,Medium,RSA,1,Slice_C
TXN3267,18,Medium,RSA,1,Slice_B
TXN4388,17,Medium,AES,1,Slice_B
TXN7389,28,Low,AES,0,Slice_B
TXN5471,17,Low,AES,0,Slice_B
TXN9751,23,Low,AES,0,Slice_A
TXN8022,19,Medium,RSA,1,Slice_B
TXN7906,16,High,TDKE,1,Slice_C
TXN1659,12,High,TDKE,1,Slice_B
TXN2874,24,Low,AES,0,Slice_A
TXN2771,7,Low,AES,0,Slice_A
TXN5941,30,High,TDKE,1,Slice_B
TXN8018,20,High,TDKE,1,Slice_B
TXN8532,13,Low,RSA,0,Slice_B
TXN5397,19,Low,RSA,0,Slice_B
TXN9098,15,Medium,RSA,1,Slice_C
TXN9464,27,Medium,RSA,1,Slice_B
TXN2524,20,Low,RSA,0,Slice_B
TXN6419,11,Medium,AES,1,Slice_C
TXN4033,20,Medium,RSA,1,Slice_A
TXN5853,13,High,TDKE,1,Slice_A
TXN5786,29,Medium,AES,1,Slice_A
TXN5658,20,High,TDKE,1,Slice_A
TXN9056,7,High,TDKE,1,Slice_A
TXN7818,17,Medium,RSA,1,Slice_B
TXN8025,28,High,TDKE,1,Slice_A
TXN4457,5,Medium,RSA,1,Slice_C
TXN8699,19,High,TDKE,1,Slice_C
TXN5334,13,High,TDKE,1,Slice_A
TXN3718,28,Low,RSA,0,Slice_B
TXN8679,17,Medium,RSA,1,Slice_B
TXN1653,13,High,TDKE,1,Slice_A
TXN1339,6,High,TDKE,1,Slice_B
TXN8245,18,Low,RSA,0,Slice_A
TXN6700,27,Medium,RSA,1,Slice_C
TXN1601,17,Low,AES,0,Slice_C
TXN8569,19,High,TDKE,1,Slice_A
TXN9998,24,High,TDKE,1,Slice_C
TXN6091,18,High,TDKE,1,Slice_A
TXN8560,20,Medium,AES,1,Slice_B
TXN3369,21,Low,AES,0,Slice_A
TXN7798,23,Low,RSA,0,Slice_A
TXN9824,11,Low,AES,0,Slice_C
TXN4826,30,Medium,RSA,1,Slice_C
TXN3492,19,High,TDKE,1,Slice_C
TXN1251,13,Medium,RSA,1,Slice_C
TXN6383,20,Low,AES,0,Slice_C
TXN4846,25,Low,AES,0,Slice_B
TXN5906,9,High,TDKE,1,Slice_C
TXN3950,23,High,TDKE,1,Slice_A
TXN5161,5,Medium,RSA,1,Slice_C
TXN3588,13,Medium,RSA,1,Slice_A
TXN8916,14,High,TDKE,1,Slice_C
TXN5497,28,Medium,RSA,1,Slice_A
TXN6772,13,Low,AES,0,Slice_C
TXN1645,14,Medium,RSA,1,Slice_A
TXN3165,20,Medium,RSA,1,Slice_A
TXN2233,28,Low,RSA,0,Slice_C
TXN2479,26,Low,RSA,0,Slice_C
TXN7086,15,Low,AES,0,Slice_C
TXN8606,18,High,TDKE,1,Slice_A
TXN1609,17,Medium,RSA,1,Slice_C
TXN9850,13,High,TDKE,1,Slice_C
TXN4559,22,Low,RSA,0,Slice_A
TXN5520,24,High,TDKE,1,Slice_A
TXN4990,12,Medium,AES,1,Slice_C
TXN5542,5,High,TDKE,1,Slice_A
TXN4898,18,Low,AES,0,Slice_C
TXN8802,23,High,TDKE,1,Slice_B
TXN4629,30,Low,RSA,0,Slice_B
TXN1510,19,High,TDKE,1,Slice_A
TXN3430,14,Medium,RSA,1,Slice_A
TXN2874,19,Medium,RSA,1,Slice_C
TXN6120,13,Medium,AES,1,Slice_C
TXN2099,30,High,TDKE,1,Slice_C
TXN6400,18,Low,AES,0,Slice_B
TXN6119,21,High,TDKE,1,Slice_A
TXN8900,12,Medium,AES,1,Slice_C
TXN5381,10,High,TDKE,1,Slice_C
TXN7566,25,High,TDKE,1,Slice_A
TXN9691,28,Medium,AES,1,Slice_A
TXN3579,7,Medium,RSA,1,Slice_C
TXN8957,16,Medium,AES,1,Slice_B
TXN8972,5,High,TDKE,1,Slice_B
TXN3248,18,High,TDKE,1,Slice_A
TXN9725,22,Low,RSA,0,Slice_A
TXN1693,23,Medium,RSA,1,Slice_B
TXN7636,7,Medium,AES,1,Slice_A
TXN7560,29,High,TDKE,1,Slice_A
TXN2868,25,High,TDKE,1,Slice_A
TXN3399,10,Low,RSA,0,Slice_B
TXN8354,15,High,TDKE,1,Slice_B
TXN8682,19,Medium,AES,1,Slice_A
TXN5703,24,Low,RSA,0,Slice_B
TXN1672,19,High,TDKE,1,Slice_B
TXN2381,21,Low,AES,0,Slice_B
TXN5634,7,Medium,AES,1,Slice_C
TXN7333,26,Low,AES,0,Slice_B
TXN3317,27,Low,RSA,0,Slice_A
TXN2388,30,Medium,AES,1,Slice_C
TXN9624,16,High,TDKE,1,Slice_B
TXN3953,7,Medium,AES,1,Slice_C
TXN9626,9,Low,RSA,0,Slice_A
TXN3962,19,High,TDKE,1,Slice_B
TXN4891,30,Medium,AES,1,Slice_C
TXN6070,19,Medium,RSA,1,Slice_B
TXN9641,20,Medium,AES,1,Slice_C
TXN3042,18,High,TDKE,1,Slice_A
TXN6727,7,Medium,AES,1,Slice_A
TXN2623,20,Low,AES,0,Slice_C
TXN8349,22,Low,RSA,0,Slice_A
TXN4893,19,High,TDKE,1,Slice_A
