transaction_id,timestamp,user_id,transaction_type,electricity_quantity,price_per_mwh,total_cost,carbon_tax_fee,transaction_status
TXN2824,2025-02-14 10:01:42,U5506,Buy,22.56,31.02,699.81,101.52,Pending
TXN1520,2025-02-14 10:02:02,U2535,Buy,55.48,30.27,1679.38,0.0,Pending
TXN5557,2025-02-14 10:55:15,U1106,Sell,40.62,31.55,1281.56,81.24,Pending
TXN2584,2025-02-14 10:24:30,U6635,,0.0,0.0,0.0,0.0,Pending
TXN9785,2025-02-14 10:08:31,U7201,Sell,84.65,36.19,3063.48,0.0,Success
TXN1750,2025-02-14 10:45:08,U4733,Buy,86.98,38.66,3362.65,0.0,Pending
TXN3664,2025-02-14 10:25:16,U6820,Sell,73.16,36.84,2695.21,146.32,Failed
TXN5010,2025-02-14 10:11:09,U8573,Sell,99.06,36.4,3605.78,0.0,Pending
TXN1916,2025-02-14 10:15:38,U1525,Sell,34.1,32.11,1094.95,68.2,Failed
TXN9179,2025-02-14 10:27:00,U8517,Sell,22.57,37.45,845.25,0.0,Pending
TXN6930,2025-02-14 10:14:58,U3266,,0.0,0.0,0.0,0.0,Success
TXN3504,2025-02-14 10:42:50,U3621,,0.0,0.0,0.0,0.0,Pending
TXN8668,2025-02-14 10:36:07,U5119,,0.0,0.0,0.0,0.0,Failed
TXN5371,2025-02-14 10:52:28,U6573,Sell,49.13,34.54,1696.95,0.0,Success
TXN9317,2025-02-14 10:07:15,U5889,,0.0,0.0,0.0,0.0,Pending
TXN3646,2025-02-14 10:36:49,U9689,Sell,53.97,31.12,1679.55,0.0,Success
TXN2290,2025-02-14 10:05:50,U8962,Buy,21.56,34.75,749.21,0.0,Failed
TXN7932,2025-02-14 10:14:27,U9835,,0.0,0.0,0.0,0.0,Pending
TXN7537,2025-02-14 10:45:51,U7118,Sell,20.89,32.25,673.7,0.0,Failed
TXN4770,2025-02-14 10:40:10,U4608,Buy,73.71,30.59,2254.79,0.0,Success
TXN9423,2025-02-14 10:16:14,U5562,,0.0,0.0,0.0,0.0,Success
TXN8744,2025-02-14 10:16:35,U8749,Buy,18.49,36.59,676.55,0.0,Failed
TXN1887,2025-02-14 10:45:58,U2612,Sell,75.54,38.01,2871.28,0.0,Success
TXN9786,2025-02-14 10:30:37,U3296,Buy,35.07,32.5,1139.78,157.81,Failed
TXN9856,2025-02-14 10:57:04,U1241,Buy,24.97,34.86,870.45,0.0,Pending
TXN1035,2025-02-14 10:26:39,U5345,Sell,48.07,39.57,1902.13,0.0,Success
TXN5861,2025-02-14 10:14:51,U1958,,0.0,0.0,0.0,0.0,Pending
TXN1936,2025-02-14 10:03:25,U8811,,0.0,0.0,0.0,0.0,Failed
TXN2312,2025-02-14 10:58:07,U4044,Buy,70.77,32.35,2289.41,0.0,Failed
TXN1651,2025-02-14 10:42:16,U2343,Sell,94.12,32.04,3015.6,423.54,Pending
TXN3144,2025-02-14 10:45:51,U5915,Sell,93.61,39.36,3684.49,421.25,Failed
TXN4492,2025-02-14 10:34:32,U5345,Sell,89.28,38.79,3463.17,0.0,Failed
TXN5956,2025-02-14 10:41:45,U9666,Sell,93.86,31.04,2913.41,0.0,Failed
TXN3546,2025-02-14 10:18:35,U5616,,0.0,0.0,0.0,0.0,Failed
TXN5325,2025-02-14 10:34:30,U9004,Buy,18.31,34.24,626.93,0.0,Pending
TXN3143,2025-02-14 10:43:29,U5291,Sell,59.65,34.28,2044.8,0.0,Failed
TXN3442,2025-02-14 10:37:14,U1590,Buy,48.68,30.42,1480.85,97.36,Success
TXN5088,2025-02-14 10:45:31,U2684,Sell,97.65,37.49,3660.9,0.0,Pending
TXN1406,2025-02-14 10:12:14,U6442,Buy,34.01,37.87,1287.96,153.04,Success
TXN4269,2025-02-14 10:55:44,U8541,Sell,83.85,38.71,3245.83,167.7,Success
TXN7528,2025-02-14 10:22:24,U5564,Sell,41.6,35.09,1459.74,0.0,Success
TXN5279,2025-02-14 10:12:11,U5349,Buy,63.69,33.46,2131.07,0.0,Failed
TXN2894,2025-02-14 10:26:17,U4114,Buy,73.79,30.02,2215.18,0.0,Pending
TXN2146,2025-02-14 10:45:20,U6409,,0.0,0.0,0.0,0.0,Pending
TXN9308,2025-02-14 10:21:06,U7691,Sell,72.75,35.54,2585.53,0.0,Failed
TXN3851,2025-02-14 10:42:01,U5930,Buy,37.35,32.1,1198.94,168.08,Pending
TXN8244,2025-02-14 10:46:07,U4501,,0.0,0.0,0.0,0.0,Success
TXN5649,2025-02-14 10:35:11,U6491,Buy,70.55,32.25,2275.24,0.0,Success
TXN5011,2025-02-14 10:32:26,U2193,Sell,89.75,35.76,3209.46,403.88,Pending
TXN4997,2025-02-14 10:10:04,U1090,Sell,29.7,38.04,1129.79,0.0,Failed
TXN5082,2025-02-14 10:57:54,U2988,Buy,82.13,36.68,3012.53,0.0,Failed
TXN9270,2025-02-14 10:29:07,U9976,Buy,76.93,34.75,2673.32,0.0,Pending
TXN9540,2025-02-14 10:33:04,U4919,Sell,16.97,32.86,557.63,0.0,Success
TXN3267,2025-02-14 10:10:17,U4788,Buy,73.58,30.64,2254.49,0.0,Success
TXN4388,2025-02-14 10:56:51,U7883,Buy,87.11,37.66,3280.56,0.0,Pending
TXN7389,2025-02-14 10:58:15,U7865,,0.0,0.0,0.0,0.0,Success
TXN5471,2025-02-14 10:29:45,U8956,Sell,40.25,36.79,1480.8,0.0,Success
TXN9751,2025-02-14 10:01:50,U7455,,0.0,0.0,0.0,0.0,Failed
TXN8022,2025-02-14 10:09:15,U8564,Buy,33.41,33.27,1111.55,150.34,Pending
TXN7906,2025-02-14 10:17:13,U2341,Buy,77.41,30.52,2362.55,154.82,Success
TXN1659,2025-02-14 10:51:29,U1508,Buy,85.53,36.21,3097.04,0.0,Failed
TXN2874,2025-02-14 10:38:30,U4571,Sell,79.02,31.68,2503.35,0.0,Pending
TXN2771,2025-02-14 10:39:30,U1420,Sell,45.7,37.15,1697.76,0.0,Failed
TXN5941,2025-02-14 10:58:02,U2983,,0.0,0.0,0.0,0.0,Failed
TXN8018,2025-02-14 10:45:09,U7071,Sell,11.14,34.2,380.99,22.28,Pending
TXN8532,2025-02-14 10:48:17,U3506,Buy,76.04,39.65,3014.99,0.0,Pending
TXN5397,2025-02-14 10:22:00,U5022,Sell,89.35,32.44,2898.51,0.0,Success
TXN9098,2025-02-14 10:58:05,U6325,Sell,29.09,37.98,1104.84,0.0,Success
TXN9464,2025-02-14 10:13:02,U2402,Sell,53.97,37.58,2028.19,107.94,Success
TXN2524,2025-02-14 10:20:05,U4630,Buy,37.56,35.82,1345.4,0.0,Failed
TXN6419,2025-02-14 10:24:01,U8434,Sell,32.63,31.21,1018.38,0.0,Failed
TXN4033,2025-02-14 10:13:04,U4545,,0.0,0.0,0.0,0.0,Success
TXN5853,2025-02-14 10:15:31,U6912,Sell,11.27,35.34,398.28,0.0,Failed
TXN5786,2025-02-14 10:47:36,U3068,,0.0,0.0,0.0,0.0,Failed
TXN5658,2025-02-14 10:32:02,U8843,Sell,26.59,30.51,811.26,0.0,Pending
TXN9056,2025-02-14 10:05:03,U1878,Buy,83.0,39.49,3277.67,0.0,Failed
TXN7818,2025-02-14 10:41:23,U4697,,0.0,0.0,0.0,0.0,Failed
TXN8025,2025-02-14 10:20:50,U1986,,0.0,0.0,0.0,0.0,Failed
TXN4457,2025-02-14 10:18:03,U2330,Buy,25.64,30.75,788.43,115.38,Failed
TXN8699,2025-02-14 10:19:52,U1534,Sell,73.63,37.03,2726.52,0.0,Success
TXN5334,2025-02-14 10:53:46,U4241,Buy,59.01,36.48,2152.68,0.0,Success
TXN3718,2025-02-14 10:54:06,U6039,,0.0,0.0,0.0,0.0,Success
TXN8679,2025-02-14 10:47:00,U5982,,0.0,0.0,0.0,0.0,Success
TXN1653,2025-02-14 10:29:29,U6280,,0.0,0.0,0.0,0.0,Success
TXN1339,2025-02-14 10:52:12,U5415,,0.0,0.0,0.0,0.0,Failed
TXN8245,2025-02-14 10:18:59,U3973,,0.0,0.0,0.0,0.0,Pending
TXN6700,2025-02-14 10:27:52,U6460,Buy,87.2,33.3,2903.76,174.4,Pending
TXN1601,2025-02-14 10:31:02,U2442,Sell,39.09,39.7,1551.87,175.91,Failed
TXN8569,2025-02-14 10:28:12,U1888,Sell,66.04,34.98,2310.08,297.18,Pending
TXN9998,2025-02-14 10:08:56,U5719,Sell,20.93,39.73,831.55,94.19,Success
TXN6091,2025-02-14 10:37:36,U1224,,0.0,0.0,0.0,0.0,Success
TXN8560,2025-02-14 10:08:01,U3522,Sell,55.8,32.73,1826.33,251.1,Failed
TXN3369,2025-02-14 10:26:11,U4122,,0.0,0.0,0.0,0.0,Pending
TXN7798,2025-02-14 10:23:12,U9318,Buy,35.46,32.99,1169.83,0.0,Pending
TXN9824,2025-02-14 10:33:03,U6654,Sell,50.98,33.22,1693.56,0.0,Pending
TXN4826,2025-02-14 10:58:26,U7730,Sell,77.02,37.05,2853.59,0.0,Failed
TXN3492,2025-02-14 10:33:48,U1606,Sell,88.27,38.74,3419.58,397.21,Pending
TXN1251,2025-02-14 10:49:19,U3361,Buy,16.73,37.82,632.73,0.0,Success
TXN6383,2025-02-14 10:58:11,U9742,Sell,66.41,38.87,2581.36,0.0,Success
TXN4846,2025-02-14 10:43:05,U5708,Buy,49.06,30.98,1519.88,98.12,Success
TXN5906,2025-02-14 10:01:58,U1753,Buy,36.4,33.75,1228.5,0.0,Pending
TXN3950,2025-02-14 10:11:36,U3868,Sell,65.77,32.41,2131.61,0.0,Pending
TXN5161,2025-02-14 10:31:22,U5183,,0.0,0.0,0.0,0.0,Failed
TXN3588,2025-02-14 10:05:02,U8237,Sell,67.5,34.24,2311.2,303.75,Pending
TXN8916,2025-02-14 10:07:16,U4886,Sell,61.73,39.93,2464.88,0.0,Pending
TXN5497,2025-02-14 10:00:33,U1803,,0.0,0.0,0.0,0.0,Failed
TXN6772,2025-02-14 10:14:57,U4115,,0.0,0.0,0.0,0.0,Success
TXN1645,2025-02-14 10:21:05,U8222,Sell,75.91,30.9,2345.62,0.0,Success
TXN3165,2025-02-14 10:53:41,U9837,Sell,84.74,32.57,2759.98,169.48,Pending
TXN2233,2025-02-14 10:09:36,U4696,,0.0,0.0,0.0,0.0,Pending
TXN2479,2025-02-14 10:53:58,U7464,Sell,58.29,34.55,2013.92,116.58,Pending
TXN7086,2025-02-14 10:07:23,U4830,Buy,65.76,39.43,2592.92,131.52,Success
TXN8606,2025-02-14 10:47:51,U5951,,0.0,0.0,0.0,0.0,Success
TXN1609,2025-02-14 10:20:46,U9071,Buy,31.13,35.38,1101.38,62.26,Failed
TXN9850,2025-02-14 10:28:36,U3531,Buy,85.03,36.16,3074.68,0.0,Pending
TXN4559,2025-02-14 10:30:16,U8285,Sell,18.94,36.86,698.13,85.23,Pending
TXN5520,2025-02-14 10:12:57,U3001,Buy,69.65,36.42,2536.65,0.0,Pending
TXN4990,2025-02-14 10:08:35,U4362,Buy,62.77,38.13,2393.42,0.0,Success
TXN5542,2025-02-14 10:58:36,U3370,Sell,81.87,31.1,2546.16,0.0,Pending
TXN4898,2025-02-14 10:40:11,U6304,Buy,33.88,31.27,1059.43,67.76,Success
TXN8802,2025-02-14 10:30:36,U6931,,0.0,0.0,0.0,0.0,Failed
TXN4629,2025-02-14 10:41:59,U1710,,0.0,0.0,0.0,0.0,Failed
TXN1510,2025-02-14 10:04:09,U8847,Sell,71.75,34.9,2504.07,0.0,Pending
TXN3430,2025-02-14 10:04:29,U3067,Sell,44.28,35.97,1592.75,88.56,Failed
TXN2874,2025-02-14 10:58:13,U4522,Sell,89.93,34.14,3070.21,0.0,Success
TXN6120,2025-02-14 10:29:08,U6120,,0.0,0.0,0.0,0.0,Pending
TXN2099,2025-02-14 10:06:13,U2398,Sell,18.69,37.39,698.82,37.38,Success
TXN6400,2025-02-14 10:45:44,U3002,Sell,88.62,39.41,3492.51,0.0,Failed
TXN6119,2025-02-14 10:24:00,U2697,,0.0,0.0,0.0,0.0,Failed
TXN8900,2025-02-14 10:15:18,U2773,Sell,20.34,32.79,666.95,91.53,Failed
TXN5381,2025-02-14 10:01:58,U3955,Sell,92.94,33.51,3114.42,0.0,Failed
TXN7566,2025-02-14 10:04:45,U3324,,0.0,0.0,0.0,0.0,Failed
TXN9691,2025-02-14 10:14:41,U7163,Sell,40.68,33.7,1370.92,183.06,Success
TXN3579,2025-02-14 10:51:30,U1815,,0.0,0.0,0.0,0.0,Pending
TXN8957,2025-02-14 10:41:26,U8242,Sell,29.4,35.12,1032.53,58.8,Failed
TXN8972,2025-02-14 10:35:58,U6053,Buy,45.57,35.99,1640.06,0.0,Success
TXN3248,2025-02-14 10:52:10,U5186,Sell,20.8,34.97,727.38,0.0,Pending
TXN9725,2025-02-14 10:48:02,U4770,,0.0,0.0,0.0,0.0,Pending
TXN1693,2025-02-14 10:29:46,U1307,Buy,87.59,35.76,3132.22,0.0,Success
TXN7636,2025-02-14 10:01:25,U6321,Sell,84.88,39.2,3327.3,0.0,Pending
TXN7560,2025-02-14 10:35:46,U2288,Sell,77.12,32.22,2484.81,0.0,Failed
TXN2868,2025-02-14 10:36:13,U9355,Sell,41.6,39.58,1646.53,0.0,Success
TXN3399,2025-02-14 10:17:28,U4232,Buy,78.42,36.56,2867.04,0.0,Failed
TXN8354,2025-02-14 10:46:29,U6295,,0.0,0.0,0.0,0.0,Success
TXN8682,2025-02-14 10:30:11,U5961,Buy,41.67,30.74,1280.94,83.34,Pending
TXN5703,2025-02-14 10:05:14,U2479,,0.0,0.0,0.0,0.0,Failed
TXN1672,2025-02-14 10:30:42,U4084,Sell,55.12,39.58,2181.65,248.04,Failed
