user_id,user_role
U5506,Dealer
U2535,Dealer
U1106,Dealer
U6635,Authority
U7201,Dealer
U4733,Supplier
U6820,Dealer
U8573,Supplier
U1525,Supplier
U8517,Dealer
U3266,Authority
U3621,Authority
U5119,Authority
U6573,Dealer
U5889,Authority
U9689,Dealer
U8962,Dealer
U9835,Authority
U7118,Supplier
U4608,Dealer
U5562,Authority
U8749,Supplier
U2612,Dealer
U3296,Supplier
U1241,Dealer
U5345,Supplier
U1958,Authority
U8811,Authority
U4044,Dealer
U2343,Supplier
U5915,Supplier
U5345,Dealer
U9666,Dealer
U5616,Authority
U9004,Supplier
U5291,Dealer
U1590,Supplier
U2684,Supplier
U6442,Supplier
U8541,Supplier
U5564,Dealer
U5349,Dealer
U4114,Supplier
U6409,Authority
U7691,Supplier
U5930,Supplier
U4501,Authority
U6491,Dealer
U2193,Supplier
U1090,Dealer
U2988,Supplier
U9976,Supplier
U4919,Supplier
U4788,Supplier
U7883,Supplier
U7865,Authority
U8956,Dealer
U7455,Authority
U8564,Dealer
U2341,Supplier
U1508,Dealer
U4571,Supplier
U1420,Supplier
U2983,Authority
U7071,Dealer
U3506,Supplier
U5022,Dealer
U6325,Dealer
U2402,Dealer
U4630,Supplier
U8434,Supplier
U4545,Authority
U6912,Dealer
U3068,Authority
U8843,Supplier
U1878,Dealer
U4697,Authority
U1986,Authority
U2330,Dealer
U1534,Dealer
U4241,Supplier
U6039,Authority
U5982,Authority
U6280,Authority
U5415,Authority
U3973,Authority
U6460,Supplier
U2442,Supplier
U1888,Dealer
U5719,Supplier
U1224,Authority
U3522,Supplier
U4122,Authority
U9318,Supplier
U6654,Supplier
U7730,Dealer
U1606,Dealer
U3361,Supplier
U9742,Supplier
U5708,Dealer
U1753,Supplier
U3868,Dealer
U5183,Authority
U8237,Supplier
U4886,Supplier
U1803,Authority
U4115,Authority
U8222,Dealer
U9837,Supplier
U4696,Authority
U7464,Dealer
U4830,Supplier
U5951,Authority
U9071,Dealer
U3531,Supplier
U8285,Dealer
U3001,Supplier
U4362,Dealer
U3370,Dealer
U6304,Dealer
U6931,Authority
U1710,Authority
U8847,Supplier
U3067,Supplier
U4522,Supplier
U6120,Authority
U2398,Dealer
U3002,Supplier
U2697,Authority
U2773,Supplier
U3955,Supplier
U3324,Authority
U7163,Supplier
U1815,Authority
U8242,Supplier
U6053,Dealer
U5186,Supplier
U4770,Authority
U1307,Supplier
U6321,Dealer
U2288,Supplier
U9355,Dealer
U4232,Dealer
U6295,Authority
U5961,Supplier
U2479,Authority
U4084,Supplier
U3827,Dealer
U7697,Supplier
U5128,Authority
U6082,Authority
U7171,Authority
U7937,Authority
U6598,Supplier
U6517,Authority
U3712,Authority
U5668,Authority
U8684,Dealer
U3655,Dealer
U2374,Dealer
U7797,Dealer
U6493,Dealer
U1086,Dealer
U2996,Dealer
U9443,Authority
U6780,Dealer
U9316,Authority
U5155,Authority
U6447,Dealer
U3986,Dealer
U6080,Authority
U6848,Dealer
U9151,Supplier
U2311,Supplier
U1693,Authority
U7655,Supplier
U7001,Supplier
U2259,Authority
U2858,Dealer
U5678,Authority
U3828,Authority
U2063,Authority
U6922,Authority
U9094,Dealer
U7523,Authority
U6194,Authority
U3981,Dealer
U4694,Supplier
U9740,Dealer
U1744,Authority
U1496,Supplier
U1981,Dealer
U6658,Supplier
U5061,Dealer
U3610,Supplier
U4524,Authority
U8710,Supplier
U1838,Authority
U7329,Authority
U2584,Supplier
U9193,Dealer
U6373,Authority
U6511,Authority
U1272,Supplier
U4728,Authority
U4968,Dealer
U9221,Authority
U6325,Authority
U6608,Authority
U5571,Authority
U9011,Supplier
U7464,Supplier
U8849,Dealer
U1831,Authority
U7771,Supplier
U4267,Supplier
U1611,Dealer
U1613,Dealer
U3198,Authority
U8518,Authority
U5833,Authority
U8007,Authority
U3303,Supplier
U1187,Supplier
U6095,Authority
U3188,Supplier
U5054,Authority
U6927,Dealer
U6375,Authority
U9361,Supplier
U1356,Supplier
U2044,Authority
U3948,Dealer
U6697,Dealer
U9920,Supplier
U7868,Authority
U1550,Supplier
U9255,Supplier
U9540,Dealer
U9120,Dealer
U5913,Supplier
U9683,Dealer
U4120,Dealer
U4422,Supplier
U4350,Supplier
U9147,Supplier
U4625,Authority
U3497,Dealer
U3756,Authority
U4015,Authority
U1794,Dealer
U7114,Dealer
U5501,Authority
U3937,Dealer
U7112,Supplier
U7640,Supplier
U6427,Authority
U1762,Dealer
U3362,Authority
U7375,Authority
U6666,Dealer
U8381,Supplier
U5839,Dealer
U2745,Dealer
U8353,Authority
U2524,Authority
U2387,Authority
U7237,Dealer
U5911,Supplier
U2752,Dealer
U3230,Supplier
U9044,Authority
U7437,Supplier
U8563,Authority
U9180,Dealer
U7566,Authority
U9796,Authority
U1725,Authority
U2615,Supplier
U9199,Dealer
U6110,Supplier
U2100,Supplier
U3858,Authority
U4022,Dealer
U5560,Authority
U6993,Supplier
U2871,Supplier
U3194,Supplier
U3258,Authority
U3838,Authority
U8389,Authority
U7290,Authority
U8272,Supplier
U9808,Supplier
U9898,Supplier
U1528,Supplier
U8015,Dealer
U9827,Dealer
U3078,Authority
U5055,Authority
U7786,Supplier
U7046,Supplier
U2037,Authority
U6289,Supplier
U3035,Dealer
U5489,Dealer
U4836,Supplier
U8291,Dealer
U2463,Authority
U3246,Supplier
U6753,Authority
U4559,Dealer
U5537,Authority
U1439,Authority
U7418,Supplier
U2163,Authority
U9951,Authority
U5295,Dealer
U7806,Supplier
U9377,Dealer
U4909,Dealer
U1207,Authority
U9474,Authority
U2934,Dealer
U1908,Supplier
U1721,Dealer
U6272,Dealer
U4656,Authority
U2415,Authority
U5979,Authority
U4201,Authority
U4817,Authority
U6038,Dealer
U1719,Dealer
U7461,Dealer
U8417,Supplier
U8635,Supplier
U2964,Dealer
U5066,Supplier
U5093,Dealer
U7563,Supplier
U3110,Dealer
U1483,Supplier
U5026,Authority
U5583,Supplier
U6883,Supplier
U4588,Dealer
U4951,Supplier
U6210,Authority
U3328,Authority
U1920,Dealer
U6301,Dealer
U7481,Authority
U8157,Authority
U3872,Supplier
U1530,Dealer
U2274,Dealer
U5088,Authority
U7323,Supplier
U8855,Authority
U1547,Supplier
U2525,Supplier
U2659,Supplier
U2571,Dealer
U5825,Authority
U3798,Authority
U7512,Supplier
U4056,Supplier
U6632,Authority
U9561,Supplier
U9467,Authority
U4471,Dealer
U2097,Dealer
U7874,Dealer
U5687,Authority
U8750,Dealer
U4892,Dealer
U2609,Dealer
U8237,Dealer
U9303,Supplier
U1944,Dealer
U7503,Authority
U8308,Dealer
U3669,Authority
U4387,Supplier
U1138,Dealer
U5128,Dealer
U5631,Supplier
U3456,Authority
U6236,Authority
U7857,Supplier
U9759,Authority
U3967,Supplier
U2166,Supplier
U4281,Supplier
U2324,Supplier
U3762,Authority
U8105,Authority
U9745,Dealer
U5076,Dealer
U5764,Supplier
U7609,Dealer
U7006,Authority
U9761,Authority
U2897,Supplier
U7895,Authority
U2718,Authority
U4254,Authority
U3627,Dealer
U9095,Dealer
U5850,Supplier
U2898,Dealer
U5395,Authority
U8479,Supplier
U3611,Dealer
U6875,Authority
U8220,Dealer
U2560,Supplier
U3571,Authority
U6421,Supplier
U8341,Dealer
U9996,Dealer
U6953,Dealer
U8414,Dealer
U2741,Dealer
U2978,Supplier
U3903,Authority
U6273,Authority
U8419,Dealer
U4560,Dealer
U9888,Authority
U7839,Authority
U1414,Supplier
U2016,Authority
U8415,Dealer
U7349,Supplier
U7025,Authority
U3906,Authority
U7180,Dealer
U3536,Dealer
U6207,Authority
U7814,Authority
U6437,Supplier
U6668,Supplier
U2857,Supplier
U4154,Supplier
U4492,Authority
U2181,Authority
U2433,Dealer
U7626,Supplier
U1745,Authority
U2417,Supplier
U7406,Authority
U3316,Dealer
U7760,Authority
U5140,Dealer
U2103,Supplier
U5671,Authority
U6008,Authority
U6182,Supplier
U6432,Supplier
U5597,Dealer
U7637,Authority
U8734,Authority
U5767,Dealer
U9423,Dealer
U1662,Dealer
U6918,Supplier
U5480,Authority
U2275,Authority
U6653,Supplier
U5600,Dealer
U6410,Authority
U7732,Dealer
U3406,Dealer
U4548,Supplier
U3747,Authority
U7196,Supplier
U8796,Authority
U8901,Authority
U7892,Supplier
U3193,Supplier
U1116,Authority
U4365,Authority
U5155,Supplier
U7065,Authority
U7522,Authority
U3650,Dealer
U2492,Dealer
U7296,Supplier
U4304,Authority
U4795,Authority
U2422,Supplier
U5661,Authority
U4187,Supplier
U6570,Dealer
U4985,Supplier
U4610,Authority
U9776,Dealer
U6142,Supplier
U4965,Supplier
U9071,Authority
U5501,Supplier
U7933,Supplier
U6171,Authority
U2650,Supplier
U4013,Supplier
U3148,Authority
U4863,Authority
U1159,Dealer
U1781,Supplier
U6914,Supplier
U5663,Supplier
U3373,Dealer
U6136,Supplier
U7782,Dealer
U3734,Supplier
U2363,Dealer
U3071,Dealer
U3213,Authority
U8126,Authority
U2467,Supplier
U5698,Supplier
U4788,Dealer
U7199,Dealer
U5404,Supplier
U9060,Dealer
U3048,Authority
U9086,Dealer
U3393,Dealer
U1206,Dealer
U4415,Supplier
U9534,Dealer
U8113,Supplier
U3539,Supplier
U3521,Authority
U6690,Supplier
U8168,Authority
U6696,Supplier
U5844,Supplier
U4912,Supplier
U3525,Authority
U9572,Authority
U2753,Supplier
U7002,Dealer
U7814,Supplier
U2591,Dealer
U7802,Authority
U3733,Dealer
U7090,Supplier
U8412,Supplier
U5920,Dealer
U3557,Dealer
U4562,Authority
U2562,Authority
U1916,Supplier
U7266,Dealer
U1827,Authority
U4638,Supplier
U7540,Supplier
U7476,Authority
U4970,Dealer
U6984,Supplier
U3389,Supplier
U1893,Dealer
U6437,Dealer
U1301,Supplier
U7367,Authority
U7332,Dealer
U1352,Dealer
U5953,Dealer
U6599,Supplier
U6118,Authority
U9869,Authority
U8046,Dealer
U4026,Dealer
U2302,Authority
U7126,Dealer
U7767,Dealer
