Date_WET,price_first_auction,price_second_auction,traded_volume_mwh,price_forecast
[01/01/2025 00:00],53.39,45.61,5439.5,70.71
[01/01/2025 01:00],63.45,64.27,4303.8,94.05
[01/01/2025 02:00],50.16,51.39,5397.7,59.19
[01/01/2025 03:00],50.01,68.53,3422.7,91.5
[01/01/2025 04:00],85.56,90.92,2815.1,94.93
[01/01/2025 05:00],85.19,48.79,2060.2,76.54
[01/01/2025 06:00],40.61,88.86,2566.8,68.07
[01/01/2025 07:00],53.23,97.44,3149.7,90.91
[01/01/2025 08:00],43.25,46.48,5980.3,45.48
[01/01/2025 09:00],61.67,93.78,2951.1,59.94
[01/01/2025 10:00],73.55,60.24,2693.7,69.58
[01/01/2025 11:00],57.67,79.23,4951.9,92.23
[01/01/2025 12:00],55.57,81.09,2399.0,62.8
[01/01/2025 13:00],73.21,59.26,2019.3,53.16
[01/01/2025 14:00],59.28,95.28,3130.7,81.24
[01/01/2025 15:00],82.96,83.62,4714.4,67.25
[01/01/2025 16:00],67.58,94.21,3142.1,86.3
[01/01/2025 17:00],44.89,71.9,3197.5,43.24
[01/01/2025 18:00],73.98,45.14,3352.6,89.71
[01/01/2025 19:00],48.49,52.59,3818.7,89.43
[01/01/2025 20:00],92.58,88.31,3598.6,86.61
[01/01/2025 21:00],53.77,68.0,3575.2,60.08
[01/01/2025 22:00],89.2,70.11,4950.9,46.6
[01/01/2025 23:00],55.78,54.07,5294.7,47.18
[02/01/2025 00:00],83.82,99.27,4317.1,41.97
[02/01/2025 01:00],64.7,71.93,4727.2,88.59
[02/01/2025 02:00],54.18,89.84,3680.0,70.55
[02/01/2025 03:00],65.23,67.67,5956.0,61.05
[02/01/2025 04:00],51.1,62.65,5481.9,42.38
[02/01/2025 05:00],91.89,46.98,5468.6,72.27
[02/01/2025 06:00],51.62,63.53,4260.3,73.11
[02/01/2025 07:00],78.65,55.72,3219.9,61.75
[02/01/2025 08:00],49.27,58.07,3336.5,57.47
[02/01/2025 09:00],53.24,99.76,4325.0,57.93
[02/01/2025 10:00],88.21,73.32,2129.3,49.33
[02/01/2025 11:00],43.7,64.58,2724.3,90.16
[02/01/2025 12:00],65.29,53.07,5891.4,70.2
[02/01/2025 13:00],72.57,46.82,2823.0,86.87
[02/01/2025 14:00],90.05,61.7,2319.6,48.56
[02/01/2025 15:00],62.63,54.18,5827.0,54.58
[02/01/2025 16:00],48.87,89.83,3237.8,54.09
[02/01/2025 17:00],48.14,47.02,2426.2,67.03
[02/01/2025 18:00],73.49,83.37,4380.7,79.8
[02/01/2025 19:00],52.24,46.05,3884.1,45.6
[02/01/2025 20:00],65.05,47.7,2038.6,58.85
[02/01/2025 21:00],54.26,99.69,4294.5,94.69
[02/01/2025 22:00],85.84,73.3,3228.1,51.34
[02/01/2025 23:00],54.85,73.51,3372.2,59.58
[03/01/2025 00:00],71.16,50.02,3079.1,78.36
[03/01/2025 01:00],88.02,61.65,2034.4,43.33
[03/01/2025 02:00],90.0,81.26,4578.8,93.45
[03/01/2025 03:00],88.93,68.25,4672.6,83.59
[03/01/2025 04:00],42.17,57.34,4300.3,49.22
[03/01/2025 05:00],46.49,77.9,3604.6,56.88
[03/01/2025 06:00],68.2,81.14,3621.4,87.21
[03/01/2025 07:00],55.82,54.25,2278.9,55.6
[03/01/2025 08:00],43.11,68.16,5070.1,53.15
[03/01/2025 09:00],42.37,53.41,4637.6,61.42
[03/01/2025 10:00],73.65,63.9,3732.7,88.58
[03/01/2025 11:00],62.21,66.01,5066.2,76.82
[03/01/2025 12:00],69.93,74.19,2351.5,47.69
[03/01/2025 13:00],73.7,94.35,3417.2,45.61
[03/01/2025 14:00],45.28,79.34,2342.0,57.84
[03/01/2025 15:00],83.73,87.9,2199.2,62.52
[03/01/2025 16:00],52.98,52.07,4440.2,42.6
[03/01/2025 17:00],84.38,72.06,2032.3,80.23
[03/01/2025 18:00],48.31,67.89,2821.2,86.7
[03/01/2025 19:00],64.02,82.98,4881.9,68.74
[03/01/2025 20:00],54.51,94.51,2189.5,66.48
[03/01/2025 21:00],56.15,89.99,2154.6,91.44
[03/01/2025 22:00],52.57,90.14,5022.4,80.16
[03/01/2025 23:00],93.27,76.88,2368.8,54.87
[04/01/2025 00:00],77.51,68.29,3416.6,52.77
[04/01/2025 01:00],84.83,60.08,3581.6,57.73
[04/01/2025 02:00],42.57,90.17,2410.5,58.51
[04/01/2025 03:00],44.24,71.55,4671.2,82.82
[04/01/2025 04:00],45.24,95.21,5497.2,83.74
[04/01/2025 05:00],79.51,80.31,5634.2,77.77
[04/01/2025 06:00],58.88,50.73,5183.1,41.89
[04/01/2025 07:00],52.74,84.18,4012.7,48.15
[04/01/2025 08:00],46.75,89.34,2993.7,63.33
[04/01/2025 09:00],53.04,97.81,5754.8,82.13
[04/01/2025 10:00],54.85,60.2,3859.6,63.7
[04/01/2025 11:00],91.99,70.63,2427.6,84.33
[04/01/2025 12:00],57.33,70.61,3325.2,67.76
[04/01/2025 13:00],73.9,66.95,3315.5,69.87
[04/01/2025 14:00],89.62,69.76,3860.8,47.99
[04/01/2025 15:00],92.37,61.29,4998.8,91.98
[04/01/2025 16:00],69.04,69.25,5474.6,45.98
[04/01/2025 17:00],85.29,66.26,2546.7,64.61
[04/01/2025 18:00],42.33,72.58,5079.6,40.88
[04/01/2025 19:00],82.73,45.83,3648.8,75.43
[04/01/2025 20:00],90.19,96.42,2857.5,65.18
[04/01/2025 21:00],87.15,95.51,3381.6,78.0
[04/01/2025 22:00],88.52,99.05,5823.2,55.1
[04/01/2025 23:00],49.55,60.9,3565.2,89.26
