DateTime,grid_demand_mwh,system_margin,renewable_output_mwh,stack_marginal_cost
[01/01/2025 00:00],36226.1,7713.8,893.0,54.73
[01/01/2025 01:00],41469.8,4722.9,4810.2,69.0
[01/01/2025 02:00],41920.6,5977.2,2030.1,92.68
[01/01/2025 03:00],34617.7,5513.3,2221.6,91.1
[01/01/2025 04:00],38338.2,6560.7,5966.9,105.18
[01/01/2025 05:00],41412.6,6025.9,7563.2,86.23
[01/01/2025 06:00],45355.2,9967.2,3135.6,60.63
[01/01/2025 07:00],48592.0,3584.6,4141.1,73.49
[01/01/2025 08:00],42916.8,6250.3,6999.7,109.25
[01/01/2025 09:00],48371.5,5879.4,7331.8,65.19
[01/01/2025 10:00],30052.4,8376.3,805.0,64.62
[01/01/2025 11:00],32914.2,9768.1,1566.6,37.12
[01/01/2025 12:00],30096.3,4983.3,6736.7,56.71
[01/01/2025 13:00],47258.7,8273.0,7421.5,108.7
[01/01/2025 14:00],43413.2,3386.7,5087.2,61.9
[01/01/2025 15:00],37072.1,3681.5,2042.0,91.74
[01/01/2025 16:00],37743.2,4323.0,4550.5,64.87
[01/01/2025 17:00],38713.3,7996.7,4977.2,80.29
[01/01/2025 18:00],42518.0,7361.0,3810.1,86.32
[01/01/2025 19:00],44749.6,4196.8,699.7,50.64
[01/01/2025 20:00],39614.9,9848.0,6803.2,39.69
[01/01/2025 21:00],43338.7,7078.8,2982.0,66.67
[01/01/2025 22:00],32106.1,9364.8,2235.3,106.8
[01/01/2025 23:00],35565.9,6054.5,2668.0,48.15
[02/01/2025 00:00],36446.8,5999.9,4827.9,104.1
[02/01/2025 01:00],43373.7,7424.8,7581.8,39.2
[02/01/2025 02:00],31262.1,5299.8,2721.0,92.68
[02/01/2025 03:00],47535.7,4496.5,2039.3,48.65
[02/01/2025 04:00],49920.2,2921.1,504.2,66.07
[02/01/2025 05:00],35545.8,7368.3,6289.8,38.55
[02/01/2025 06:00],41065.8,5998.5,6034.9,105.64
[02/01/2025 07:00],36927.6,4881.0,7418.9,65.08
[02/01/2025 08:00],31821.5,4597.1,3247.2,85.88
[02/01/2025 09:00],43702.5,3596.4,6886.3,55.31
[02/01/2025 10:00],45076.1,9292.8,3267.2,109.72
[02/01/2025 11:00],45838.8,9278.0,1831.8,80.32
[02/01/2025 12:00],49533.3,3373.8,6481.2,76.23
[02/01/2025 13:00],46876.6,4370.0,2821.3,36.83
[02/01/2025 14:00],48319.0,5153.1,6338.9,89.17
[02/01/2025 15:00],38626.7,2682.2,6909.0,36.78
[02/01/2025 16:00],46546.1,4893.9,715.7,47.55
[02/01/2025 17:00],47608.6,2075.3,6769.1,100.48
[02/01/2025 18:00],41778.7,5630.8,4499.6,81.71
[02/01/2025 19:00],44939.5,2420.8,2852.5,55.7
[02/01/2025 20:00],34292.0,8952.0,1503.7,78.86
[02/01/2025 21:00],33076.5,2047.8,566.9,77.2
[02/01/2025 22:00],33729.8,6366.4,6872.9,52.78
[02/01/2025 23:00],47070.6,8367.9,3086.0,94.09
[03/01/2025 00:00],40663.3,5481.3,3116.1,83.84
[03/01/2025 01:00],48611.7,5575.7,5353.3,88.07
[03/01/2025 02:00],43577.5,7342.3,6205.1,72.98
[03/01/2025 03:00],43729.7,5856.0,1555.2,40.96
[03/01/2025 04:00],39473.5,4871.8,4378.0,101.23
[03/01/2025 05:00],32938.6,9695.8,6093.8,58.69
[03/01/2025 06:00],30609.4,7706.5,1790.3,106.25
[03/01/2025 07:00],31972.6,7449.4,1652.9,85.66
[03/01/2025 08:00],43548.3,2229.7,2873.4,78.88
[03/01/2025 09:00],41038.3,7468.6,7024.2,72.14
[03/01/2025 10:00],46013.0,8917.5,6849.0,101.66
[03/01/2025 11:00],37749.4,2914.2,3078.6,100.38
[03/01/2025 12:00],35836.8,6896.9,3932.2,78.11
[03/01/2025 13:00],32441.1,5734.4,7210.2,102.68
[03/01/2025 14:00],43059.3,8854.7,6635.5,36.84
[03/01/2025 15:00],49922.7,4755.0,2204.2,54.51
[03/01/2025 16:00],46948.9,7555.7,2880.9,46.97
[03/01/2025 17:00],31842.9,5275.7,1208.4,74.82
[03/01/2025 18:00],45355.5,5909.0,3334.8,35.11
[03/01/2025 19:00],43161.3,2213.4,6980.7,64.61
[03/01/2025 20:00],34123.6,7754.1,2124.1,85.43
[03/01/2025 21:00],42595.5,6314.2,6032.5,60.99
[03/01/2025 22:00],30487.6,6887.1,1778.0,86.7
[03/01/2025 23:00],44641.8,5345.3,3593.3,94.76
[04/01/2025 00:00],49594.9,4777.6,3292.8,83.23
[04/01/2025 01:00],39879.5,4117.5,5627.3,45.97
[04/01/2025 02:00],48007.0,3916.1,6595.9,41.8
[04/01/2025 03:00],48575.5,3584.4,6403.0,87.71
[04/01/2025 04:00],47510.9,4888.2,7334.8,90.88
[04/01/2025 05:00],33561.2,3429.0,2525.8,90.79
[04/01/2025 06:00],49113.5,4300.6,6270.9,105.01
[04/01/2025 07:00],47814.6,9190.1,4880.2,50.19
[04/01/2025 08:00],39185.6,6933.9,2151.3,103.13
[04/01/2025 09:00],46193.5,6828.4,5105.0,61.74
[04/01/2025 10:00],44841.6,4537.9,4534.7,36.02
[04/01/2025 11:00],39264.5,6421.4,5327.7,82.09
[04/01/2025 12:00],42457.7,4877.7,7503.2,105.99
[04/01/2025 13:00],34053.2,5227.9,2547.8,58.21
[04/01/2025 14:00],40033.7,6371.9,7779.8,59.7
[04/01/2025 15:00],30351.6,5070.6,2816.1,102.8
[04/01/2025 16:00],39451.9,7480.9,6930.1,39.22
[04/01/2025 17:00],32258.5,8934.0,1400.9,62.51
[04/01/2025 18:00],42267.0,4565.7,2013.0,67.88
[04/01/2025 19:00],42852.0,2930.9,502.7,70.43
[04/01/2025 20:00],45411.9,4406.8,5595.0,89.44
[04/01/2025 21:00],32627.3,3963.3,5712.6,84.08
[04/01/2025 22:00],42669.9,8070.6,6614.8,60.6
[04/01/2025 23:00],40651.9,6043.9,4090.1,95.75
[05/01/2025 00:00],49594.1,5108.9,2573.6,49.72
[05/01/2025 01:00],48869.6,9205.7,5462.0,42.86
[05/01/2025 02:00],38668.1,7579.5,523.6,65.99
[05/01/2025 03:00],36942.1,2531.3,3532.5,61.97
[05/01/2025 04:00],45210.9,2048.8,6469.0,96.44
[05/01/2025 05:00],48851.5,3070.9,1712.7,43.9
[05/01/2025 06:00],32672.3,2193.9,3607.0,88.67
[05/01/2025 07:00],31227.0,4630.5,4880.0,98.81
[05/01/2025 08:00],38676.8,7156.4,2180.1,61.0
[05/01/2025 09:00],37033.1,7206.2,6269.9,46.46
[05/01/2025 10:00],49357.1,8272.5,1328.8,90.98
[05/01/2025 11:00],43145.0,3359.2,7153.5,81.13
[05/01/2025 12:00],44333.9,5271.8,3153.6,101.92
[05/01/2025 13:00],42862.5,6546.8,2458.0,56.97
[05/01/2025 14:00],35456.1,2245.1,3295.7,96.8
[05/01/2025 15:00],30658.6,2465.6,5038.0,42.52
